127.0.0.1 - - [13/Jul/2022:18:53:50 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jul/2022:18:53:51 +0700] "GET /Project_3_trungvqfx14135/ HTTP/1.1" 200 5985
0:0:0:0:0:0:0:1 - - [13/Jul/2022:18:53:51 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:05:29 +0700] "GET /Project_3_trungvqfx14135/home HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:05:43 +0700] "GET /Project_3_trungvqfx14135/detail?pid=1 HTTP/1.1" 200 9514
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:05:48 +0700] "GET /Project_3_trungvqfx14135/cart?pid=1&action=add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:05:48 +0700] "GET /Project_3_trungvqfx14135/Cart.jsp HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:06:00 +0700] "GET /Project_3_trungvqfx14135/home HTTP/1.1" 200 15506
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:06:05 +0700] "GET /Project_3_trungvqfx14135/cart?pid=1&action=add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:06:05 +0700] "GET /Project_3_trungvqfx14135/Cart.jsp HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:06:18 +0700] "GET /Project_3_trungvqfx14135/home HTTP/1.1" 200 15506
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:06:21 +0700] "GET /Project_3_trungvqfx14135/cart?pid=6&action=add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:06:21 +0700] "GET /Project_3_trungvqfx14135/Cart.jsp HTTP/1.1" 200 10378
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:06:33 +0700] "GET /Project_3_trungvqfx14135/buy HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:06:33 +0700] "GET /Project_3_trungvqfx14135/home HTTP/1.1" 200 15505
